prevword,nextword,prevpos,nextpos,prevnum,nextnum,number,class
персона,трутень,NOUN,NOUN,sing,plur,plur,4
наш,а,ADJF,CONJ,plur,none,plur,4
в,вооружённый,PREP,ADJF,none,plur,plur,4
в,поклонник,PREP,NOUN,none,plur,plur,4
распределение,число,NOUN,NOUN,sing,plur,sing,8
в,число,PREP,NOUN,none,plur,sing,8
натуральный,число,ADJF,NOUN,sing,plur,sing,8
натуральный,как,ADJF,CONJ,sing,none,sing,8
пополнить,скорее,VERB,CONJ,plur,none,plur,4
что,издатель,CONJ,NOUN,none,plur,plur,4
в,свой,PREP,ADJF,none,plur,plur,4
в,вто,PREP,NOUN,none,sing,plur,4
пополнить,один,INFN,ADJF,none,sing,plur,4
в,партия,PREP,NOUN,none,sing,plur,4
в,локо,PREP,NOUN,none,sing,plur,4
в,сборный,PREP,ADJF,none,sing,plur,4
свой,организация,ADJF,NOUN,plur,sing,plur,4
в,ленинский,PREP,ADJF,none,sing,plur,4
её,и,ADJF,CONJ,sing,none,plur,4
пополнение,сочувствовать,NOUN,PRTF,sing,plur,plur,4
партийный,её,ADJF,ADJF,plur,sing,plur,4
в,единый,PREP,ADJF,none,sing,plur,4
случай,региональный,NOUN,ADJF,sing,sing,plur,4
свой,,ADJF,,plur,,plur,4
охотный,пособлять,ADJF,GRND,sing,none,sing,5
на,борец,PREP,NOUN,none,plur,plur,4
же,группа,PRCL,NOUN,none,sing,plur,4
охотный,он,ADJF,NPRO,sing,sing,sing,5
из,советский,PREP,ADJF,none,plur,plur,4
калашный,а,ADJF,CONJ,sing,none,sing,5
военный,выйти,NOUN,VERB,plur,plur,plur,4
партийный,,ADJF,,plur,,plur,4
торговый,,ADJF,,plur,,plur,5
свой,на,ADJF,PREP,plur,none,plur,5
пополнить,он,INFN,NPRO,none,sing,plur,4
два,и,ADJF,CONJ,sing,none,sing,1
сплошной,и,ADJF,CONJ,plur,none,plur,1
девять,,ADJF,,sing,,sing,1
первое,,NOUN,,sing,,sing,1
один,с,ADJF,PREP,sing,none,sing,1
задний,специально,ADJF,ADVB,plur,none,plur,1
восемь,,ADJF,,sing,,sing,1
в,как,PREP,CONJ,none,none,sing,1
президентский,сидение,ADJF,NOUN,sing,plur,sing,1
модельный,2002,ADJF,NUMB,sing,none,sing,1
модельный,,ADJF,,sing,,sing,1
европейский,mitsubishi,ADJF,LATN,sing,none,sing,1
аппаратурный,с,ADJF,PREP,plur,none,plur,1
другой,или,ADJF,CONJ,sing,none,sing,1
бы,из,PRCL,PREP,none,none,sing,1
недлинный,с,ADJF,PREP,sing,none,sing,1
периметр,белых,NOUN,NOUN,sing,sing,sing,1
один,с,ADJF,PREP,sing,none,sing,1
первое,,NOUN,,sing,,sing,1
два,,ADJF,,sing,,sing,1
один,с,ADJF,PREP,sing,none,sing,1
два,зуб,ADJF,NOUN,sing,plur,sing,1
последний,огромный,ADJF,ADJF,plur,sing,plur,1
звуковой,,ADJF,,sing,,sing,1
один,с,ADJF,PREP,sing,none,sing,1
визуальный,и,ADJF,CONJ,sing,none,sing,1
один,выскочить,ADJF,VERB,plur,sing,plur,1
длинный,писсуар,ADJF,NOUN,sing,plur,sing,1
визуальный,и,ADJF,CONJ,sing,none,sing,1
длинный,исполнитель,ADJF,NOUN,sing,plur,sing,1
один,увидеть,ADJF,INFN,plur,none,plur,1
первое,поставить,NOUN,VERB,sing,plur,sing,1
2-3,выпотрошить,UNKN,PRTF,none,sing,sing,1
купюрный,,ADJF,,sing,,sing,1
первое,где,NOUN,ADVB,sing,none,sing,1
длинный,олигарх,ADJF,NOUN,plur,plur,sing,1
один,,ADJF,,sing,,sing,1
три,протянуть,NUMR,VERB,none,plur,sing,1
синонимический,,ADJF,,sing,,sing,1
вверх,расставить,ADVB,PRTS,none,plur,plur,1
из,вон,PREP,ADVB,none,none,sing,1
стройный,на,ADJF,PREP,plur,none,plur,1
в,потом,PREP,ADVB,none,none,plur,1
в,с,PREP,PREP,none,none,sing,1
один,,ADJF,,plur,,plur,1
несколько,и,ADVB,CONJ,none,none,plur,1
неполный,округло-продолговатый,ADJF,ADJF,sing,plur,sing,1
в,на,PREP,PREP,none,none,sing,1
два,не,NUMR,PRCL,none,none,sing,1
первое,так,NOUN,CONJ,sing,none,sing,1
два,кровать,NUMR,NOUN,none,plur,plur,1
в,пузатенький,PREP,ADJF,none,plur,plur,1
один,,ADJF,,sing,,sing,1
алфавитный,а,ADJF,CONJ,sing,none,sing,1
из,вон,PREP,ADVB,none,none,sing,1
ровность,в,NOUN,PREP,sing,none,plur,1
в,у,PREP,PREP,none,none,sing,1
два,вдоль,NUMR,ADVB,none,none,plur,1
два,награда,NUMR,NOUN,none,plur,plur,1
между,,PREP,,none,,plur,1
в,с,PREP,PREP,none,none,sing,1
между,то,PREP,CONJ,none,none,plur,1
шесть,автомашина,NUMR,NOUN,none,plur,plur,1
два,,NUMR,,none,,sing,1
в,прочий,PREP,ADJF,none,plur,sing,1
в,подставить,PREP,GRND,none,none,sing,1
сплошной,средневековый,ADJF,ADJF,sing,plur,sing,1
два,двойной,NUMR,ADJF,none,plur,plur,1
ограда,проволока,NOUN,NOUN,sing,sing,plur,1
по,,PREP,,none,,plur,1
два,грузовик,NUMR,NOUN,none,plur,sing,1
в,плечо,PREP,NOUN,none,sing,sing,1
один,с,ADJF,PREP,plur,none,plur,1
один,блестеть,ADJF,VERB,plur,plur,plur,1
свой,они,ADJF,NPRO,sing,plur,sing,1
два,какой-то,NUMR,ADJF,none,plur,sing,1
два,яблоня,NUMR,NOUN,none,plur,plur,1
по,он,PREP,NPRO,none,sing,plur,1
задний,подняться,ADJF,VERB,sing,sing,sing,1
предпоследний,я,ADJF,NPRO,sing,sing,sing,1
из,словно,PREP,CONJ,none,none,sing,1
и,двустволка,CONJ,NOUN,none,plur,plur,1
после,злосчастный,PREP,ADJF,none,plur,sing,3
в,случай,PREP,NOUN,none,plur,sing,3
целое,позиция,NOUN,NOUN,sing,plur,sing,3
с,губернаторов,PREP,NOUN,none,sing,sing,3
и,страна,CONJ,NOUN,none,plur,sing,3
в,приоритетный,PREP,ADJF,none,plur,sing,3
предъявить,претензия,PRTS,NOUN,sing,plur,sing,3
в,страна,PREP,NOUN,none,plur,sing,3
в,свой,PREP,ADJF,none,plur,sing,3
целое,параметр,NOUN,NOUN,sing,plur,sing,3
полагать,собеседник,VERB,NOUN,sing,plur,sing,3
содержимый,мера,VERB,NOUN,sing,plur,sing,3
нерешенность,крупный,NOUN,ADJF,sing,plur,sing,3
ещё,очень,ADVB,ADVB,none,none,sing,3
ещё,мутация,ADVB,NOUN,none,plur,sing,3
в,случай,PREP,NOUN,none,plur,sing,3
в,аксессуар,PREP,NOUN,none,plur,sing,3
с,ограничение,PREP,NOUN,none,plur,sing,3
в,эвристический,PREP,ADJF,none,plur,sing,3
в,заявить,PREP,PRTF,none,plur,sing,3
и,аспирант,CONJ,NOUN,none,plur,sing,3
сделать,заключение,INFN,NOUN,none,plur,sing,3
соотношение,психологический,NOUN,ADJF,sing,plur,sing,3
иметься,международный,VERB,ADJF,sing,plur,sing,3
целое,нестационарный,NOUN,ADJF,sing,plur,sing,3
известный,случай,ADJS,NOUN,sing,plur,sing,3
с,предприятие,PREP,NOUN,none,plur,sing,3
в,случай,PREP,NOUN,none,plur,sing,3
решить,вопрос,INFN,NOUN,none,plur,sing,3
течение,год,NOUN,NOUN,sing,plur,sing,3
зрение,традиционный,NOUN,ADJF,sing,plur,sing,3
в,подобный,PREP,ADJF,none,plur,sing,3
в,случай,PREP,NOUN,none,plur,sing,3
или,произведение,CONJ,NOUN,none,plur,sing,3
в,эпизод,PREP,NOUN,none,plur,sing,3
предшествовать,творческий,VERB,ADJF,sing,plur,sing,3
в,решение,PREP,NOUN,none,plur,sing,3
существовать,разновидность,VERB,NOUN,sing,plur,sing,3
на,преимущество,PREP,NOUN,none,plur,sing,3
целое,причина,NOUN,NOUN,sing,plur,sing,3
население,территория,NOUN,NOUN,sing,plur,sing,3
разработать,требование,PRTS,NOUN,sing,plur,sing,3
в,работа,PREP,NOUN,none,plur,sing,3
из,страна,PREP,NOUN,none,plur,sing,3
и,другой,CONJ,ADJF,none,plur,sing,3
обладать,такой,VERB,ADJF,plur,plur,sing,3
в,самый,PREP,ADJF,none,plur,sing,3
поставить,вопрос,VERB,NOUN,plur,plur,sing,3
в,страна,PREP,NOUN,none,plur,sing,3
типологический,и,ADJF,CONJ,sing,none,sing,3
джинса,исследователь,NOUN,NOUN,sing,plur,sing,3
этот,поставить,ADJF,PRTS,sing,plur,sing,3
в,зарубежный,PREP,ADJF,none,plur,sing,3
сопоставить,наследственный,VERB,ADJF,plur,plur,sing,3
назвать,свойство,INFN,NOUN,none,plur,sing,3
и,другой,CONJ,ADJF,none,plur,sing,3
целое,глубокий,NOUN,ADJF,sing,plur,sing,3
и,биолог,CONJ,NOUN,none,plur,sing,3
пример,физй,NOUN,NOUN,sing,sing,sing,3
,предложение,,NOUN,,plur,sing,3
и,минерал,CONJ,NOUN,none,plur,sing,3
выявить,североиранско-европейский,VERB,ADJF,sing,plur,sing,3
в,жидкость,PREP,NOUN,none,plur,sing,3
целый,особенность,ADJF,NOUN,sing,plur,sing,3
обзавестись,приспособление,INFN,NOUN,none,plur,sing,3
среда,замечательный,NOUN,ADJF,sing,plur,sing,3
проявляться,страна,VERB,NOUN,sing,plur,sing,3
оказаться,попытка,VERB,NOUN,sing,plur,sing,3
ведь,задавать,CONJ,PRTF,none,plur,sing,3
выдвигать,обобщение,VERB,NOUN,sing,plur,sing,3
